review_year,review_month,review_text
2019,Sep,"Ski'd for 2 days. The shuttle bus trip from Queenstown was an experience in itself, with spectacular views going up the mountain - bus took about 1 hours each way with a few stops for passengers. The mountain was fantastic skiing for moderate to experienced runs, a couple of beginner runs. No queues at all for ski runs, except at the one central restaurant which was very busy and crowded. The mountain was not too windy as it is in a valley so has some protection from the winds."
2019,Oct,"The road to the ski field is scenic but a bid windy. It could be tricky in the icy conditions. It's very handy to use the sky bus service. You can park your car at the ski field car at the bottom of the mountain to use the bus service."
2019,Oct,"Wrong time of year for skiing however we were thrilled to discover that we could still get to the ski field to see real snow, great drive & experience for us"
2019,Oct,"Even though the ski field is close the time we visit, the drive up to the look out area the view from above is so remarkable and the 360 views of queenstown is far away from words can discripe. Too beautiful and too magnificent of the Remarkable Mount."
2019,Oct,"This is not a review about ski but even if you dont go up there to ski, go for the drive itself. Its amazing!! The views from the road all the way up the mountain will have you in awe. I researched all about it before I went so I was prepared for the state of the road which is a little rough in parts, some gravel. I went up in October during good weather and during the winter you would need snow chains. I recommend it just for the experience."
2019,Oct,"A bit of an adrenalin rush on that road, we went out of the skiing season but the views on the way up are huge as good as being in a plane."
2019,Oct,"It was our first ski experience at the Remarkables. We went on a package deal with 2 lessons and ski gear 9boots, skis, jacket, pants, googles and gloves). Very hard work but it was a great experience. Definitely worth a visit when you are in Queenstown."
2019,Oct,"wow what a remarkable resort especially the drive up the mountain what a view. You can see the whole city from above and look down on the helicopters."
2019,Oct,"Staff were all helpful and it's a great beginners area, plenty of room. Kids and I went snowboarding for the first time. Instructor was great and the facilities are great too. We could leave our rental gear overnight for free which made things easy for us. Food was good, hot chocolate was better:)"
2018,June,"A good family resort, however $3.50 for a fluffy (baby chino) is too expensive itâ€™s a tiny bit of milk in an expresso cup and 2 small marshmallows. The coffeeâ€™s were a normal price around $5 so why charge so much for a fluffy for young kids."
2021,Jul,"After skiing all week we went up for a lesson and afternoon ski. We arrived at midday and got our tickets and were ready for fittings of performance rentals at 12.20pm. The next hour was a nightmare with the staff at the counter going on breaks to leave one person to deal with logging people in and fitting us for ski, boots etc. we were the only ones needing to be served. That took 40 mins then we got on the mountain to find the bindings weren’t correct went back down to again take another 30 mins which started to eat into a lesson we’d booked. After spending $641 for two people with only 2 hours left you’d think they could provide a better service. This place is expensive for what it is. A sandwich for $10 was inedible and the cafe is ridiculously expensive for very average food. The staff are all nice but it’s not run well with little things like no refill for tomato sauce after paying $7 for a meat pie and tables not cleaned regularly. They really need to get it together because it just feels like a money grab."
2021,Jun,"The staff at the Remarkable Ski Area went out of their way to help us - beyond expectation in fact. Their customer service is highly commended (overhearing the manager dealing with another customer who was challenging). Special mention to Isaac who did all he could to make sure our visit was pleasant. Thank you to the management team for their work and flexibility behind the scenes to rectify an error."
2021,Jun,"Huge shoutout to our instructor Brigit who looked after us so well all day! We took part in the First Timers Starter Package, and Brigit was with us every step of the way. She was kind, passionate, and above all, patient. Even though we were in a group with eight others, Brigit gave us all personalised feedback and really looked out for each and every one of us!"
2020,Mar,"We were driven around in a massive group with AATKings and the views were stunning. Beautiful blue Lake Wakatipu surrounded by Remarkables mountain range."
2020,Sep,"Returning after 4 years, pleased to find a fantastic new cafe. 2 servery ends with basic lunchbar food at 1 end & a gourmet style servery at the other end. Prices are expensive eg sushi $20! Burgers more affordable and well presented. Outside theres a double magic carpet that goes up to another single magic carpet. The left side has the new Sugar Bowl 6 seater chairlift that is super comfy & fast. The ski runs are easy with a couple of blue runs along the way. For the more adventurous the right side has the Shadow Basin with more of the same plus a traverse to some powder runs & blue/black runs. Only downside is that you end up near carpark 4 and have to take wait for the shuttle to get back. Carpark tip - go right to the top and if lucky you can find a spare park otherwise you're at the mercy of the shuttle at 30 minute intervals. Beware queuing up if you don't have any skis as those that load their skis into the back of the bus then form another queue closer to the bus and seem to jump the normal queue."
2020,Jul,"The road up is long and slow with parking a bus trip away with a long line for the bus. Not too keen on the ski area as it was quite narrow with way to many people on it. . I found the other ski fields to be better."
2020,Jul,"Good rental gear, quick lift waits and a good range of terrain. If your lucky enough to get fresh snow the off trail potential looks stunning. The road up was well kept with spectacular views. There was a good range of food and drinks including alcohol available. A quick climb up to the look out is well worth it. Only small criticism is that is too hot in the rental area when you have all your gear on."
2020,Jul,"We went up for a look yesterday in the full winter sun and ended up hiring all the gear, booking a lesson and enjoying the whole afternoon on the snow. It was our first time up the Remarkables and kudos to the guy who served us. If it hadn't been for his friendly professional approach, we might not have stayed."
2020,Jul,"Great fun, lots of space that caters for all skillsets, 10/10 views of the many snowy ranges around queenstown! Food is very over priced, take snacks lol"
2020,Jul,"we went skiing here in the past holidays. I had a Lesson with Ross James he was awesome. Also I did skiing in a sit ski. I like the new Lodge."
2020,Jul,"We tried to arrive daily at 8am to get a top car park. The variety of ski runs for a beginner/intermediate is excellent. Queues form quickly at the travellator for the beginners run. Cafe had plenty of food, ran out of mulled wine 😣."
2020,Oct,"My partner and I are both near-beginner skiers and we had an awesome day with Alan, an English ski instructor. We were put in a small group of 5 and it is fair to say that I learnt more in less than 4 hours than the sum total of previous ski trips. He was extremely patient and friendly. His progressions helped build up our levels of confidence and by the end of the lesson, I could ski on one leg. Lots of good easy ski areas for beginners. The coach trip was incredible with amazing views. Thank you to SnowBizz for the equipment hire. I recommend that you get your gear the day before rather than wait until you are up the mountain."
2020,Oct,"We spent an amazing day at remakrables just after a major snowstorm the day was perfect no wind it was warm tonnes of fresh snow, the snow centre was very helpful as were the staff from pick up at the centre on the mountain. Such an awesome day out kids and I loved and will be something we will do again for many years to come"
2020,Sep,"I love this ski field, always lots of interesting trails to ski, loving the new Sugar Bowl chairlift, has opened up loads more of the mountain, never disappoints"
2020,Sep,"First time to The Remarkables, only been to Coronet peak. Well laid out, lots of lockers and the skiers seem to fly through the lifts. We got a private one on one lesson for our son who hadnt skied before and whilst it seems a bit expensive it was well worth it. After his lesson he was away with all the confidence in the world. We also took the snow bus up....so much easier than taking your own car and they drop you right at the door. Will def come back."
2020,Sep,"We had a great day on the mountain with the kids aged 5 and 7 going to the Kia club. The staff had great energy and were super friendly to our two shy girls. Meantime as a beginner I headed to the green runs and had a blast. Lunch time and the queues were fine and we got a table for some lunch. All staff onsite were really friendly and nice but I have to say the teachers at Ski school stood out just at how friend they all were and encouraging to the kids. Can’t wait to come back"
